order_id,customer_id,order_ts,status,currency,gross_amount,discount_amount,tax_amount,source_updated_at
O-1021,C-017,2026-07-03 08:04:18,PLACED,USD,112.35,0.00,9.27,2026-07-03 08:05:02
O-1022,C-018,2026-07-03 08:49:56,PLACED,USD,48.90,0.00,4.03,2026-07-03 08:50:31
O-1023,C-019,2026-07-03 09:32:14,SHIPPED,USD,275.00,25.00,20.63,2026-07-03 10:21:44
O-1024,C-020,2026-07-03 10:18:39,PLACED,USD,36.75,0.00,3.03,2026-07-03 10:19:11
O-1025,C-021,2026-07-03 11:06:07,CANCELLED,USD,150.00,0.00,0.00,2026-07-03 11:18:52
O-1026,C-022,2026-07-03 12:41:28,PLACED,USD,89.99,9.99,6.60,2026-07-03 12:42:09
O-1027,C-023,2026-07-03 13:27:51,PLACED,USD,520.40,40.40,39.60,2026-07-03 13:28:36
O-1028,C-024,2026-07-03 14:08:03,RETURNED,USD,73.25,0.00,6.04,2026-07-03 14:55:17
O-1029,C-025,2026-07-03 15:19:45,PLACED,USD,61.10,0.00,5.04,2026-07-03 15:20:29
O-1030,C-026,2026-07-03 16:37:22,PLACED,USD,305.80,30.80,22.69,2026-07-03 16:38:08
